"Big5 碼",造字圖,"IDS (請參考 http://goo.gl/3D2uoE)","IDS 動態圖片","ref 剎那字引: http://nccu.ksana.tw/kzy/",備註,,
B+90a9,"{image: https://g0v.github.io/koktai/img/k/90a9.png}",⿸疒珠,"{image: http://漢字.意傳.台灣/宋體/⿸疒珠.png}",,,,
B+90ab,"{image: https://g0v.github.io/koktai/img/k/90ab.png}",⿸疒哥,"{image: http://漢字.意傳.台灣/宋體/⿸疒哥.png}",,,,
B+90ad,"{image: https://g0v.github.io/koktai/img/k/90ad.png}",⿰車加,"{image: http://漢字.意傳.台灣/宋體/⿰車加.png}",,,,
B+90af,"{image: https://g0v.github.io/koktai/img/k/90af.png}",⿰米蔴,"{image: http://漢字.意傳.台灣/宋體/⿰米蔴.png}",,,,
B+90b4,"{image: https://g0v.github.io/koktai/img/k/90b4.png}",⿰虫夋,"{image: http://漢字.意傳.台灣/宋體/⿰虫夋.png}",,,,
B+90b7,"{image: https://g0v.github.io/koktai/img/k/90b7.png}",⿰⺩毛,"{image: http://漢字.意傳.台灣/宋體/⿰⺩毛.png}",,,,
B+90ba,"{image: https://g0v.github.io/koktai/img/k/90ba.png}",⺲,"{image: http://漢字.意傳.台灣/宋體/⺲.png}",,,,
B+90c6,"{image: https://g0v.github.io/koktai/img/k/90c6.png}",⿱艹冑,"{image: http://漢字.意傳.台灣/宋體/⿱艹冑.png}",,,,
B+90c8,"{image: https://g0v.github.io/koktai/img/k/90c8.png}",⿰石匹,"{image: http://漢字.意傳.台灣/宋體/⿰石匹.png}",,,,
B+90cb,"{image: https://g0v.github.io/koktai/img/k/90cb.png}",⿵門艮,"{image: http://漢字.意傳.台灣/宋體/⿵門艮.png}",,,,
B+90d0,"{image: https://g0v.github.io/koktai/img/k/90d0.png}",⿰口有,"{image: http://漢字.意傳.台灣/宋體/⿰口有.png}",,,,
B+90d3,"{image: https://g0v.github.io/koktai/img/k/90d3.png}",⿰石告,"{image: http://漢字.意傳.台灣/宋體/⿰石告.png}",,,,
B+90db,"{image: https://g0v.github.io/koktai/img/k/90db.png}",⿱㇒囗,"{image: http://漢字.意傳.台灣/宋體/⿱㇒囗.png}",,,,
B+90e0,"{image: https://g0v.github.io/koktai/img/k/90e0.png}",⿰氵⿱巛夕,"{image: http://漢字.意傳.台灣/宋體/⿰氵⿱巛夕.png}",,,,
B+90ee,"{image: https://g0v.github.io/koktai/img/k/90ee.png}",⿱冖月,"{image: http://漢字.意傳.台灣/宋體/⿱冖月.png}",,,,
B+9170,"{image: https://g0v.github.io/koktai/img/k/9170.png}",⿸疒記,"{image: http://漢字.意傳.台灣/宋體/⿸疒記.png}",,,,
B+91aa,"{image: https://g0v.github.io/koktai/img/k/91aa.png}",⿱山母,"{image: http://漢字.意傳.台灣/宋體/⿱山母.png}",,,,
B+91ae,"{image: https://g0v.github.io/koktai/img/k/91ae.png}",⿰口,"{image: http://漢字.意傳.台灣/宋體/⿰口.png}",,不知道unicode有沒有個部件了？>_<,,
B+91af,"{image: https://g0v.github.io/koktai/img/k/91af.png}",𠰻,"{image: http://漢字.意傳.台灣/宋體/𠰻.png}",,右邊看起來像是外的異寫,"OK 用 𠰻",
B+91b1,"{image: https://g0v.github.io/koktai/img/k/91b1.png}",⿰木朮,"{image: http://漢字.意傳.台灣/宋體/⿰木朮.png}",,,,
B+91b6,"{image: https://g0v.github.io/koktai/img/k/91b6.png}",⿰阝不,"{image: http://漢字.意傳.台灣/宋體/⿰阝不.png}",,,,
B+91b7,"{image: https://g0v.github.io/koktai/img/k/91b7.png}",⿳⺮冖林,"{image: http://漢字.意傳.台灣/宋體/⿳⺮冖林.png}",,,,
B+91bb,"{image: https://g0v.github.io/koktai/img/k/91bb.png}",⿰月函,"{image: http://漢字.意傳.台灣/宋體/⿰月函.png}",,,,
B+91c5,"{image: https://g0v.github.io/koktai/img/k/91c5.png}",⿰糸攀,"{image: http://漢字.意傳.台灣/宋體/⿰糸攀.png}",,,,
B+91c7,"{image: https://g0v.github.io/koktai/img/k/91c7.png}",⿰口務,"{image: http://漢字.意傳.台灣/宋體/⿰口務.png}",,,,
B+91d0,"{image: https://g0v.github.io/koktai/img/k/91d0.png}",⿰飠夾,"{image: http://漢字.意傳.台灣/宋體/⿰飠夾.png}",,,,
B+91d6,"{image: https://g0v.github.io/koktai/img/k/91d6.png}",⿰齒卒,"{image: http://漢字.意傳.台灣/宋體/⿰齒卒.png}",,,,
B+91dd,"{image: https://g0v.github.io/koktai/img/k/91dd.png}",⿰目率,"{image: http://漢字.意傳.台灣/宋體/⿰目率.png}",,,,
B+91e1,"{image: https://g0v.github.io/koktai/img/k/91e1.png}",臯,"{image: http://漢字.意傳.台灣/宋體/臯.png}",,,,
B+91ef,"{image: https://g0v.github.io/koktai/img/k/91ef.png}",⿰全焦,"{image: http://漢字.意傳.台灣/宋體/⿰全焦.png}",,,,
B+91f1,"{image: https://g0v.github.io/koktai/img/k/91f1.png}",⿰火侖,"{image: http://漢字.意傳.台灣/宋體/⿰火侖.png}",,,,
B+9241,"{image: https://g0v.github.io/koktai/img/k/9241.png}",⿰月幷,"{image: http://漢字.意傳.台灣/宋體/⿰月幷.png}",,,,
B+924d,"{image: https://g0v.github.io/koktai/img/k/924d.png}",⿱艹⿰白奄,"{image: http://漢字.意傳.台灣/宋體/⿱艹⿰白奄.png}",,,,
B+924e,"{image: https://g0v.github.io/koktai/img/k/924e.png}",⿱目,"{image: http://漢字.意傳.台灣/宋體/⿱目.png}",,這個上半部的部件也要找當今unicode有沒有了,,
B+9267,"{image: https://g0v.github.io/koktai/img/k/9267.png}",⿰木⿸广睘,"{image: http://漢字.意傳.台灣/宋體/⿰木⿸广睘.png}",,,,
